Date,Name,Type,Location,Country,Elevation,Latitude,Longitude,VEI
2021.03.05,Sangay,Stratovolcano,Ecuador,Ecuador,5286,-2.00500,-78.34100,2
2021.05.19,Stromboli,Stratovolcano,Italy,Italy,924,38.78900,15.21300,2
2021.05.22,Nyiragongo,Stratovolcano,Africa-C,Congo, DRC,3470,-1.52000,29.25000,2
2021.09.19,La Palma,Stratovolcano,Canary Is,Spain,2426,28.57000,-17.83000,3
2022.06.22,Popocatepetl,Stratovolcano,Mexico,Mexico,5393,19.02300,-98.62200,2
2022.10.09,Stromboli,Stratovolcano,Italy,Italy,924,38.78900,15.21300,2
2022.12.04,Stromboli,Stratovolcano,Italy,Italy,924,38.78900,15.21300,2
2024.06.03,Kanlaon,Stratovolcano,Philippines-C,Philippines,2422,10.41000,123.13000,3
